Year,Week,Game.Date,Team,Actual_Team_Points,Predicted_Team_Points,Opponent,Actual_Opponent_Points,Predicted_Opponent_Points,Predicted_Total_Points,Actual_Total_Points
2017,Conf. Champ.,2018-01-21,Philadelphia Eagles,38,25.6803948957399,Minnesota Vikings,7,24.9069315107571,50.587326406497,45
2017,SuperBowl,2018-02-04,Philadelphia Eagles,41,23.3298177786296,New England Patriot,33,28.2007524064201,51.5305701850497,74
2018,Wild Card,2019-01-05,Seattle Seahawks,22,24.5566843040305,Dallas Cowboys,24,24.2441997562686,48.8008840602991,46
2018,Wild Card,2019-01-05,Houston Texans,7,26.1989314946613,Indianapolis Colts,21,23.1106238303559,49.3095553250173,28
2018,Wild Card,2019-01-06,Chargers,23,22.1531300394444,Baltimore Ravens,17,23.0502991580191,45.2034291974635,40
2018,Wild Card,2019-01-06,Philadelphia Eagles,16,23.8557017677071,Chicago Bears,15,22.4091104079905,46.2648121756976,31
2018,Division,2019-01-12,Kansas City Chiefs,31,26.281069236677,Indianapolis Colts,13,23.9590463801604,50.2401156168373,44
2018,Division,2019-01-12,Rams,30,33.6366567056008,Dallas Cowboys,22,27.292026571967,60.9286832775678,52
2018,Division,2019-01-13,Philadelphia Eagles,14,24.7237418084683,New Orleans Saints,20,24.5467467965698,49.2704886050381,34
2018,Division,2019-01-13,Chargers,28,24.1911489429043,New England Patriot,41,26.1870266948704,50.3781756377747,69
2018,Conf. Champ.,2019-01-20,New England Patriot,37,25.3103301995178,Kansas City Chiefs,31,26.7508288075658,52.0611590070836,68
2018,Conf. Champ.,2019-01-20,Rams,26,30.8834371873141,New Orleans Saints,23,24.7023424230541,55.5857796103682,49
2018,SuperBowl,2019-02-03,Rams,3,31.4816451454094,New England Patriot,13,26.6107859405507,58.0924310859601,16
2019,Wild Card,2020-01-04,Houston Texans,22,24.3119469085895,Buffalo Bills,19,22.2015307678129,46.5134776764024,41
2019,Wild Card,2020-01-04,Tennessee Titans,20,23.8458645236115,New England Patriot,13,22.7200152668533,46.5658797904648,33
2019,Wild Card,2020-01-05,New Orleans Saints,20,25.4843334602236,Minnesota Vikings,26,23.2308390387949,48.7151724990185,46
2019,Wild Card,2020-01-05,Seattle Seahawks,17,26.1767007583518,Philadelphia Eagles,9,24.3442701561062,50.5209709144581,26
2019,Division,2020-01-11,Baltimore Ravens,12,21.9598772793088,Tennessee Titans,28,21.706694994956,43.6665722742648,40
2019,Division,2020-01-11,San Francisco 49ers,27,23.4675713182904,Minnesota Vikings,10,22.2155994216196,45.68317073991,37
2019,Division,2020-01-12,Seattle Seahawks,23,24.5345730216142,Green Bay Packers,28,25.3486284556123,49.8832014772265,51
